Question_No,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Difficulty,subject,chapter
33,Which curve is steeper on PV diagram?,Isothermal,Adiabatic,Both same,Straight line,B,Medium,Physics,Current Electricity
34,"In free expansion of ideal gas, work done is",Positive,Negative,Zero,Maximum,C,Medium,Physics,Current Electricity
35,Efficiency of engine operating between T1 and T2 is,1−T1/T2,1−T2/T1,T1/T2,T2/T1,B,Medium,Physics,Current Electricity
36,"For reversible cycle, entropy change of system is",Positive,Negative,Zero,Infinite,C,Medium,Physics,Current Electricity
37,Which process is fastest cooling?,Isothermal,Adiabatic,Isobaric,Isochoric,B,Medium,Physics,Current Electricity
38,Internal energy change in isothermal process is,Zero,Positive,Negative,Infinite,A,Medium,Physics,Current Electricity
39,Entropy change of universe in irreversible process is,Zero,Negative,Positive,Infinite,C,Medium,Physics,Current Electricity
40,Which engine cycle is idealized?,Diesel,Otto,Carnot,Brayton,C,Medium,Physics,Current Electricity
41,Which quantity is conserved in first law?,Entropy,Heat,Energy,Temperature,C,Medium,Physics,Current Electricity
42,"In isobaric expansion, heat supplied goes into",Work only,ΔU only,Work + ΔU,Entropy only,C,Medium,Physics,Current Electricity
43,"For ideal gas, Cp/Cv equals",γ,R,1,0,A,Medium,Physics,Current Electricity
44,Which statement is correct?,Heat is state function,Work is state function,Entropy is state function,All are state,C,Medium,Physics,Current Electricity
45,Entropy change depends on,Path,Initial state,Final state,Initial & final,D,Medium,Physics,Current Electricity
46,Which cycle uses two isothermal processes?,Otto,Diesel,Carnot,Brayton,C,Medium,Physics,Current Electricity
47,"For adiabatic compression, temperature",Decreases,Increases,Constant,Zero,B,Medium,Physics,Current Electricity
48,Which graph represents isobaric process?,PV,VT,PT,TP,B,Medium,Physics,Current Electricity
49,"For monoatomic gas, degrees of freedom are",2,3,5,6,B,Medium,Physics,Current Electricity
50,Work done is maximum in,Adiabatic,Isothermal,Isochoric,Isobaric,B,Medium,Physics,Current Electricity
51,Second law introduces concept of,Energy,Work,Entropy,Temperature,C,Medium,Physics,Current Electricity
52,In reversible process system is always in,Equilibrium,Non equilibrium,Vacuum,Rest,A,Medium,Physics,Current Electricity
53,Which law defines absolute zero?,First,Second,Third,Zeroth,C,Medium,Physics,Current Electricity
54,Entropy change in isolated system is,Zero,Negative,Positive,Constant,C,Medium,Physics,Current Electricity
55,For real gases internal energy depends on,Temperature,Volume,Pressure,Temperature and volume,D,Medium,Physics,Current Electricity
56,Which process is vertical line in PV diagram?,Isothermal,Adiabatic,Isochoric,Isobaric,C,Medium,Physics,Current Electricity
57,Heat engine efficiency is always,≤1,=1,>1,0,A,Medium,Physics,Current Electricity
58,Which process has zero work?,Isothermal,Adiabatic,Isochoric,Isobaric,C,Medium,Physics,Current Electricity
59,Entropy is extensive property because it depends on,Path,Mass,Pressure,Temperature,B,Medium,Physics,Current Electricity
60,Which is not a thermodynamic system?,Open,Closed,Isolated,Uniform,D,Medium,Physics,Current Electricity
61,"For cyclic process, net heat equals",Zero,Work done,Entropy change,ΔU,B,Medium,Physics,Current Electricity
62,Which statement is true?,Adiabatic faster than isothermal,Isothermal faster,Both same,No relation,A,Medium,Physics,Current Electricity
63,Slope of adiabatic curve depends on,γ,R,T,P,A,Medium,Physics,Current Electricity
64,Refrigerator works on principle of,Heat absorption,Heat rejection,Heat pump,Heat engine,C,Medium,Physics,Current Electricity
65,Which law defines thermal equilibrium?,First,Second,Third,Zeroth,D,Medium,Physics,Current Electricity
66,Entropy change in isothermal process is,Zero,Q/T,W/T,ΔU/T,B,Medium,Physics,Current Electricity
67,Which process has constant pressure?,Isothermal,Adiabatic,Isobaric,Isochoric,C,Medium,Physics,Current Electricity
68,Carnot cycle has how many processes?,2,3,4,5,C,Medium,Physics,Current Electricity
69,Which device transfers heat from cold to hot?,Engine,Refrigerator,Turbine,Generator,B,Medium,Physics,Current Electricity
70,For ideal gas ΔU =,nRT,nCvΔT,nCpΔT,0,B,Medium,Physics,Current Electricity
71,"For reversible adiabatic process, entropy change is",Positive,Negative,Zero,Infinite,C,Hard,Physics,Current Electricity
72,Maximum efficiency of engine working between T1 and T2 is,1−T2/T1,1−T1/T2,T1/T2,T2/T1,B,Hard,Physics,Current Electricity
73,Which condition violates second law?,100% heat to work,Heat flows hot to cold,Entropy increases,Reversible process,A,Hard,Physics,Current Electricity
74,"For free expansion of ideal gas, entropy change is",Zero,Negative,Positive,Infinite,C,Hard,Physics,Current Electricity
75,Adiabatic curve is steeper because,No heat exchange,Less work,More heat,Constant T,A,Hard,Physics,Current Electricity
76,Which process has minimum work?,Isothermal,Adiabatic,Isochoric,Isobaric,C,Hard,Physics,Current Electricity
77,Entropy change of universe in reversible process is,Zero,Positive,Negative,Infinite,A,Hard,Physics,Current Electricity
78,Which engine is impossible?,Carnot,Diesel,Otto,Perpetual motion,D,Hard,Physics,Current Electricity
79,Which law forbids PMM-2?,First,Second,Third,Zeroth,B,Hard,Physics,Current Electricity
80,Which law forbids PMM-1?,First,Second,Third,Zeroth,A,Hard,Physics,Current Electricity
81,"For heat engine, which is always rejected?",Heat,Work,Entropy,Energy,A,Hard,Physics,Current Electricity
82,Efficiency of real engine compared to Carnot is,Greater,Equal,Less,Zero,C,Hard,Physics,Current Electricity
83,Entropy change depends on,Path,Only initial,Only final,Initial and final,D,Hard,Physics,Current Electricity
84,Which quantity increases in irreversible process?,Energy,Work,Entropy,Temperature,C,Hard,Physics,Current Electricity
85,Which process is quasi-static?,Fast,Very slow,Sudden,Explosive,B,Hard,Physics,Current Electricity
86,Which is intensive property?,Entropy,Volume,Mass,Temperature,D,Hard,Physics,Current Electricity
87,Which is extensive property?,Pressure,Temperature,Entropy,Density,C,Hard,Physics,Current Electricity
88,For ideal gas entropy depends on,T only,V only,T and V,P only,C,Hard,Physics,Current Electricity
89,Which law gives direction of process?,First,Second,Third,Zeroth,B,Hard,Physics,Current Electricity
90,Reversible process is possible only when system is in,Equilibrium,Vacuum,Motion,Isolation,A,Hard,Physics,Current Electricity
91,Entropy change of isolated system is never,Zero,Negative,Positive,Constant,B,Hard,Physics,Current Electricity
92,Which process gives maximum entropy change?,Isothermal,Adiabatic,Free expansion,Isochoric,C,Hard,Physics,Current Electricity
93,Which is not state variable?,Pressure,Temperature,Heat,Volume,C,Hard,Physics,Current Electricity
94,Which law is statistical in nature?,First,Second,Third,Zeroth,B,Hard,Physics,Current Electricity
95,Entropy is related to probability by,S=k ln W,S=W/k,S=k/W,S=W ln k,A,Hard,Physics,Current Electricity
96,Which process has no entropy change?,Reversible adiabatic,Isothermal,Free expansion,Irreversible,A,Hard,Physics,Current Electricity
97,Which law defines entropy at absolute zero?,First,Second,Third,Zeroth,C,Hard,Physics,Current Electricity
98,Which process is most efficient?,Adiabatic,Isothermal,Carnot,Isochoric,C,Hard,Physics,Current Electricity
99,Entropy change is maximum in,Reversible,Irreversible,Adiabatic,Isothermal,B,Hard,Physics,Current Electricity
100,Which engine is theoretical standard?,Diesel,Otto,Carnot,Stirling,C,Hard,Physics,Current Electricity
