Question_No,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Difficulty
86,The dimensional formula of resistance is,[ML²T⁻³A⁻²],[ML²T⁻³A²],[ML²T⁻³A],[MLT⁻²A⁻¹],A,Medium
87,A charge of 90C flows through a wire in 1 hour. The current flowing is,90A,0.025A,1.5A,15A,B,Easy
88,Two resistances 2Ω and 3Ω are connected in parallel to a 10V battery. The total power consumed is,50W,83.3W,100W,66.6W,B,Medium
89,The energy consumed by a 100W bulb in 2 hours is,200J,720000J,200000J,7200J,B,Medium
90,The resistance of an ideal voltage source is,Zero,Infinite,Very small,Very large,B,Medium
91,The resistance of an ideal current source is,Zero,Infinite,Very small,Very large,B,Medium
92,In a series RC circuit the impedance is given by,R + 1/ωC,R - 1/ωC,sqrt(R² + (1/ωC)²),sqrt(R² - (1/ωC)²),C,Hard
93,The time constant of an RL circuit is,L/R,RL,R/L,1/RL,A,Hard
94,When a capacitor is charged through a resistor the voltage across the capacitor,Increases exponentially,Decreases exponentially,Increases linearly,Decreases linearly,A,Hard
95,When a capacitor is discharged through a resistor the voltage across the capacitor,Increases exponentially,Decreases exponentially,Increases linearly,Decreases linearly,B,Hard
96,The energy stored in a capacitor is given by,CV²,1/2 CV²,1/2 QV,QV,C,Hard
97,In a balanced Wheatstone bridge if P=10Ω Q=100Ω and R=20Ω then S is,200Ω,2Ω,5Ω,0.5Ω,A,Medium
98,A 5Ω resistor is connected in series with a parallel combination of 10Ω and 15Ω resistors. The total resistance is,5Ω,10Ω,16Ω,25Ω,C,Medium
99,The resistivity of a metal increases with impurity concentration,True,False,Depends on temperature,Depends on the metal,A,Hard
100,The drift velocity of electrons in a superconductor is,Zero,Finite,Infinite,Equal to speed of light,B,Hard
